P00001606T0076|14 50|alkaline phosphatases and 5-nucleotidase
P00959656A0250|39 53|antithrombin III
P00970488A0105|75 84|DA receptor
P00985279A0493|15 24|hemoglobin
P00986925A0002|11 20|calcitonin
P00989973A0000|16 31|plasma fibrinogen
P00993176A0066|116 125|hemoglobin
P00993176A0066|35 44|hemoglobin
P00993176A0066|5 13|myoglobin
P01000378T0000|33 39|insulin
P01004298A0744|34 44|CA component
P01021091T0000|110 120|Octapressin
P01078982A0227|69 90|antilymphocyte globulin
P01083375T0000|0 17|Alpha-1 antitrypsin
P01083784T0000|25 32|serum IgE
P01093845A0208|27 37|Delta-9-THC
P01116466A0185|45 52|thrombin
P01116466A0185|26 39|thromboplastin
P01116466A0185|97 113|clotting factors II
P01119658A0000|205 207|N2A
P01130186A0568|47 53|insulin
P01138330A0204|53 55|HC1
P01140184A0342|48 61|epoxide hydrase
P01150658A0683|39 61|human luteinizing hormone
P01158512T0000|0 31|Glucose-6-phosphate dehydrogenase
P01168607A0672|86 96|prothrombin
P01168607A0672|104 117|serum vitamins A
P01168908A0000|16 18|PGF
P01171935A0313|134 153|dopamine receptor site
P01172734T0035|15 22|HL-A W-27
P01176905A0094|20 33|serum melatonin
P01190120A0832|39 52|thromboplastin
P01191964A0000|177 179|T-4
P01224116A0576|35 54|serum immunoglobulins
P01224116A0576|63 65|IgG
P01228258A0000|116 126|Mitomycin-C
P01228258A0000|25 30|OK-432
P01228882A0437|63 80|CSF immunoglobulins
P01256410T0001|16 31|factor II molecule
P01265887T0001|0 17|Acquired factor VIII
P01275541A0405|21 23|CPK
P01276105A0313|14 20|insulin
P01279352A0473|74 98|mouse liver contain proteins
P01279352A1197|133 162|beta-galactosidase reporter gene
P01279374A0396|118 123|PET122
P01280807A0575|18 41|MetRS/CAU operator complex
P01280807A0575|80 103|ThrRS/CGU operator complex
P01281771T0000|21 29|human gene
P01281771T0000|38 50|cytokeratin 17
P01284828T0001|0 25|Tissue plasminogen activator
P01285009A0000|161 164|rCCK
P01285009A0000|169 185|chicken beta-actin
P01285009A0000|26 43|human growth hormone
P01285009A0000|142 159|rat cholecystokinin
P01285009A0000|116 135|viral thymidine kinase
P01285009A0000|90 109|mouse metallothionein
P01285009A0000|45 47|hGH
P01285009A0000|137 139|vTK
P01285358A0396|15 17|AFP
P01285358A0396|5 11|gastrin
P01294345A0591|128 136|prolactin
P01296815A0059|31 34|LD78
P01296815A0059|42 50|LD78 gamma
P01309244A0798|41 44|-125
P01309587A0715|101 108|Z protein
P01309587A0715|49 55|Z/c-myb
P01309587A0715|118 129|c-myb protein
P01309587A0715|31 43|BMRF1 promoter
P01309593A1092|132 150|immunoglobulin light
P01309593A1092|190 210|ribosomal protein genes
P01309593A1092|20 24|UCRBP
P01309593A1092|106 115|P5 promoter
P01309815A0972|12 25|scr1-1 mutation
P01309860A0559|103 115|mouse L1 family
P01309894A0807|12 16|Rep68
P01309910A0428|74 85|CREB2 protein
P01310154A0879|203 212|FBR protein
P01310154A0879|89 98|FBR protein
P01310178A0876|3 6|JS78
P01310935T0000|0 14|Drosophila UbcD1
P01312005A0600|49 52|MDP1
P01313846A0850|130 145|melanoma Ag MUC-18
P01313846A0850|187 204|poliovirus receptor
P01313846A0850|63 91|immunoglobulin gene superfamily
P01313846A0850|159 182|carcinoembryonic Ag family
P01313894A1179|54 62|LMP2B mRNA
P01314953A1266|60 63|HAP2
P01314953A1266|66 69|HAP3
P01314953A1266|90 93|hap3
P01315706A0000|42 61|adenovirus E1a protein
P01316461A1083|23 31|S2 protein
P01316476A1428|3 10|ORF 4 gene
P01316680A0643|17 22|IR5 ORF
P01316903A0296|25 39|RNA polymerase II
P01316903A0296|52 54|IIA
P01316903A1040|0 15|RNA polymerase IIA
P01316903A1040|97 112|RNA polymerase IIA
P01317376A0981|0 11|Fructokinase
P01317376A0981|119 125|frk mRNA
P01318310A0000|84 86|HDL
P01320255A0795|158 164|human L1
P01320255A0795|74 83|L1 sequence
P01320640A0336|61 67|insulin
P01320640A0336|38 59|neuron-specific enolase
P01321277A0342|141 143|UR2
P01321280A0494|31 32|E6
P01321280A0494|36 41|E7 gene
P01321332A0970|69 71|RXR
P01321332A0970|106 127|apoAI gene basal promoter
P01321336A0731|19 26|ALF1 cDNA
P01324385A0329|8 27|IgG antibodies vs HHV-6
P01324404A0813|114 129|HNF-3 beta protein
P01324404A1208|0 31|HNF-3 beta amino-terminal sequences
P01324406A1250|15 44|RAD5 putative ATPase/DNA helicase
P01324639T0000|52 62|amoxicillin
P01325221A0870|104 115|p41 MAP kinase
P01325221A0870|76 84|MBP kinase
P01325386A0766|3 16|hit1-1 mutation
P01326329A0703|157 173|activator protein 2
P01326329A0703|175 178|Ap-2
P01326329A0703|44 50|CAP site
P01327758A0000|92 111|full-length E2 protein
P01327758A0000|13 34|bovine papillomavirus-1
P01327758A0000|77 85|E1 protein
P01328197A0985|27 54|MAP kinase activator/MAP kinase
P01328219A1397|0 5|NSCL-1
P01328854T0000|7 15|MEF-2 site
P01328854T0000|105 135|human phosphoglycerate mutase gene
P01328884T0000|40 58|MHC class II molecules
P01329039A0239|126 137|bHLH proteins
P01329039A0951|115 128|Ig kappa E2 E-box
P01329039A0951|90 105|MCK left E-box site
P01329039A0951|47 58|TnI enhancers
P01330077A0000|0 17|T-cell receptor beta
P01330077A0000|19 25|TCR beta
P01330309A1134|30 33|MyoD
P01330309A1134|37 58|myogenin fusion proteins
P01331057A0000|59 99|Saccharomyces cerevisiae cytochrome c oxidase
P01331060A0768|17 32|calcineurin A gene
P01331086T0000|26 62|murine cytochrome c oxidase subunit IV gene
P01331501A0397|121 124|p130
P01331501A0397|110 116|cyclin A
P01331501A0397|71 73|E1A
P01332964A0247|23 33|RII beta gene
P01333035T0000|59 86|Escherichia coli RNA polymerase
P01333035T0000|10 39|cAMP receptor protein contact site
P01333047A0404|14 34|epidermal growth factor
P01333047A0404|37 64|platelet-derived growth factor
P01333047A0404|126 135|Nck protein
P01333053A0110|121 124|ACTH
P01333053A0110|22 43|steroid hydroxylase gene
P01333317A1008|98 102|PRF-I
P01333317A1008|38 40|Sp1
P01337142A2043|8 45|human glycoprotein alpha-subunit promoter
P01337142A2043|65 67|FSK
P01339373T0000|77 93|SNF1 protein kinase
P01339468A0272|3 13|ORF1 protein
P01339468A0272|92 101|-6 proteins
P01340470A0000|2 23|RNA-binding protein gene
P01340470A0000|25 28|rbp1
P01347664A1026|50 56|CAD mRNA
P01347944A0964|37 68|homeodomain binding site II sequence
P01348504A0757|8 30|pol alpha-primase complex
P01348508A0313|153 160|TGM1 gene
P01348590A0000|125 127|CD4
P01348590A0000|110 120|HIV-disease
P01349837T0000|40 74|Zea mays mitochondrial chaperonin HSP60
P01353478T0000|24 41|IAP retrotransposon
P01353478T0000|13 17|H-2Eb
P01358190A0654|17 28|DR1 beta chain
P01358190A0654|33 41|H-2E beta k
P01358758A0000|21 35|rat insulin I gene
P01358880A0251|52 88|human cellular transglutaminase sequence
P01360294A0000|120 124|AT III
P01360294A0000|104 118|antithrombin III
P01363080A0710|135 151|carbonic anhydrase
P01363166T0001|17 26|H2 receptor
P01371181A0688|26 35|pLS1 family
P01371272A1167|72 94|yeast DNA polymerase alpha
P01371413A0742|14 23|hGCSFR gene
P01372802A1481|23 24|C3
P01372900A0448|91 112|alpha s1-casein variant A
P01372900A1017|54 88|goat alpha s1-casein transcription unit
P01373374A0735|74 77|GBF3
P01373374A0735|67 70|GBF1
P01374331A0636|62 71|nuclease S1
P01374392A0341|57 61|NHE-2
P01374392A0341|49 53|NHE-1
P01374392A0341|23 27|NHE-3
P01375224A0152|41 45|v-Crk
P01375913A0484|94 120|T7 RNA polymerase promoter site
P01375913A0484|53 64|U14 snRNA gene
P01376319T0000|22 68|mouse cation-dependent mannose 6-phosphate receptor
P01377962A1012|11 21|tobacco GS-2
P01378052A0594|160 189|NifA upstream activator sequences
P01378052A0594|153 156|NtrC
P01378506A0884|82 83|NC
P01380062A0097|0 7|T antigen
P01380062A0097|110 112|Y-2
P01380062A0097|114 116|Y-3
P01380062A0097|97 108|CTL clones Y-1
P01380062A0097|121 123|Y-5
P01380454A0451|200 208|NF-kappa B
P01380454A0451|43 51|ref-1 gene
P01380454A0451|228 241|ATF/CREB family
P01380454A0451|210 212|Myb
P01380454A0451|133 144|AP-1 proteins
P01383690A1023|49 51|BCR
P01383695A0100|79 86|IgM kappa
P01383695A0100|90 98|IgM lambda
P01384229A0175|173 182|TK promoter
P01384229A0175|105 113|BF-IV gene
P01384229A0175|230 232|CAT
P01384229A0175|44 53|chicken ICS
P01384229A0175|197 228|chloramphenicol acetyl transferase
P01386897A0000|128 131|CLN2
P01386897A0000|121 124|CLN1
P01386897A0000|65 75|CDC28 kinase
P01387105A0933|135 159|cyclin B1-related sequences
P01387105A0933|171 183|loci Cycb1-rs1
P01388160A1102|156 162|Ser-107
P01394200A0592|142 161|interleukin 2 receptor
P01394655A0615b|0 5|Urease
P01394655A0615b|101 118|Jack bean meal urease
P01396592A1113|97 110|SCL gene product
P01396592A1113|53 86|erythroid transcription factor GATA-1
P01396592A1113|28 34|SCL gene
P01396601A0986|45 49|Stl2p
P01396601A0986|37 41|Stl1p
P01396601A0986|30 35|Sec12p
P01398068A0948|98 111|RGC DNA sequence
P01398068A0948|45 67|his273 mutant p53 proteins
P01398071A0526|77 80|BRF1
P01398071A0526|130 144|RNA polymerases I
P01398073A0986|54 65|TFIID protein
P01398074A0697|75 88|RNase MRP enzyme
P01398074A1081|3 17|RNase MRP RNA gene
P01398074A1081|127 134|RNase MRP
P01398104A0834|17 21|CBF-A
P01398140A0488|16 28|Xenopus U7 gene
P01398140A0488|104 106|PSE
P01399206A0375|35 45|collagenase
P01400217T0000|85 88|traF
P01400217T0000|29 61|IncP alpha plasmid transfer genes traF
P01400396A1265|109 126|protein kinase C beta
P01400401A0065|59 60|E1
P01400401A0065|9 32|four AMP deaminase variants
P01400401A0854|128 136|AMPD3 cDNA
P01402647A0114|0 11|DR1 molecules
P01404401A0740|9 21|ATPase cluster
P01406630A0965|152 167|NF-kappa B complex
P01406656A1075|39 49|mouse alpha 1
P01406677A0000|82 99|human myoglobin gene
P01406677A0000|231 244|luciferase gene
P01406703A1435|58 91|H-2RIIBP nuclear hormone receptor cDNA
P01407286A0427|146 164|tyrosine hydroxylase
P01409643A0618|205 231|TATA element modulatory factor
P01410071T0000|13 21|melatonin
P01410071T0000|45 53|prolactin
P01413984A0737|160 179|plasminogen activator
P01413984A0737|96 100|apo A1
P01413984A0737|108 112|HbA1C
P01413984A0737|66 79|HDL cholesterol
P01413984A0737|81 94|LDL cholesterol
P01413984A0737|133 142|factor VIII
P01413984A0737|122 131|fibrinogen
P01413984A0737|190 215|tissue plasminogen activator
P01413984A0737|144 158|antithrombin III
P01413984A0737|219 237|von Willebrand factor
P01420363A0818|16 22|AP1 site
P01420363A0818|127 136|AP1 factors
P01420363T0000|19 34|PEA3 binding sites
P01420363T0000|75 94|metalloproteinases-1
P01420363T0000|13 15|AP1
P01420363T0000|96 101|TIMP-1
P01421145A1190|79 84|PCAT-1
P01421390T0000|18 79|recombinant human granulocyte-macrophage colony-stimulating factor
P01422265A0263|85 88|IgG1
P01422265A0263|3 5|IgG
P01425921A1286|161 164|V1J1
P01426635A0496|18 22|ZFH-2
P01427034A0440|33 53|ribosomal protein genes
P01427034A0440|90 97|S13 genes
P01429596A1669|55 67|hemagglutinin
P01429596A1669|81 121|Limulus 18K agglutination-aggregation factor
P01429724A0664|46 50|Nmt1p
P01429740A1065|122 127|E2 gene
P01429836A0457|96 100|Vps1p
P01429836A1205|13 17|Vps1p
P01431380A0244|140 162|anti-SF group rickettsiae
P01431809T0000|49 62|polyhedrin gene
P01433524A0788|51 53|IE1
P01437562A0462|0 17|Anti-CRK antibodies
P01446828A1088|13 16|ADH5
P01446828A1088|105 109|NF-A2
P01446828A1088|114 118|NF-E1
P01446828A1088|90 92|AP2
P01446828A1088|86 88|Sp1
P01446828A1088|94 98|LF-A1
P01446828A1088|100 103|NF-1
P01447189A1546|21 29|RNK-Met-1
P01447189A1546|33 46|serine protease
P01447189T0000|45 53|RNK-Met-1
P01447189T0000|30 43|serine protease
P01448107A0361|24 27|GCN2
P01448107A0361|61 64|GCN4
P01448917A0775|286 298|24K proteinase
P01448917A0775|208 228|32K proteinase cofactor
P01448917A0775|81 96|CPMV RNA 1 sequence
P01448917A0775|155 163|CPSMV RNA 1
P01449183A0795|23 38|beta 2 transferrin
P01450815A0337|29 32|IPRK
P01452037A0000|124 147|triosephosphate isomerase
P01452037A0000|98 100|PGK
P01452037A0000|26 64|glyceraldehyde-3-phosphate dehydrogenase
P01452037A0000|66 70|GAPDH
P01452584T0000|0 29|Pseudomonas aeruginosa exotoxin A
P01454518A0336|186 199|human ERCC3 cDNA
P01454819A0000|141 150|EC 3.2.2.19
P01454819A0000|97 106|EC 2.4.2.31
P01454819A0000|111 139|ADP-ribosylarginine hydrolases
P01456888A0074|58 92|HIV-1 group specific core antigen p55 gag
P01457695T0000a|9 27|beta 2-microglobulin
P01457695T0000b|9 27|beta 2-microglobulin
P01459885A0705|93 98|alpha 1
P01460054A0968|10 14|ICSBP
P01464606A0344|19 37|alpha 5 beta 1 integrin
P01468625A0282|16 19|LEU2
P01468625A0282|23 31|HIS3 cDNAs
P01468625A1080|39 42|NSR1
P01468625A1080|11 14|ACT1
P01469042A0355|5 14|CENP-B gene
P01470243A0871|248 254|albumin
P01471602A0362|113 129|HMG-CoA) reductase
P01471602A0362|77 111|3-hydroxy-3-methylglutaryl coenzyme A
P01477021A0394|42 55|serum prolactin
P01480183A0000|25 44|human lactoferrin gene
P01480183A1689|64 78|lactoferrin gene
P01485648A0000|139 168|allergen-specific IgE antibodies
P01498607A0000|79 109|parsley chalcone synthase promoter
P01504853A0299|9 12|LHRH
P01512941A0000|63 69|DR-3355
P01516829A0113|28 31|SNF5
P01516829A0113|23 26|SNF2
P01516829A0113|36 39|SNF6
P01516829A0460|70 73|SNF5
P01516829A0460|65 68|SNF2
P01516829A0460|10 18|LexA-GAL4
P01516829A0460|78 81|SNF6
P01518849A0165|5 7|PR3
P01518849A0165|143 166|forming alpha 1-proteinase
P01518849A0165|188 202|elastin peptides
P01524549A0241|4 5|GH
P01524549A0241|114 115|GH
P01524549A0241|152 153|GH
P01526658A0454|0 8|IFI 16 mRNA
P01527020A0511|33 59|rat AdoMet decarboxylase genes
P01527020A0511|109 117|human gene
P01529530T0000|92 96|ISGF3
P01531214A0885|21 26|RP-170
P01531632A0000|149 157|GAR domain
P01531632A0000|111 114|NSR1
P01531632A0000|104 107|SSB1
P01531632A0000|82 90|nucleolin
P01532229A1264|87 91|MEF-2
P01532229A1264|58 62|HF-1a
P01532796A0107|70 89|alpha and beta subunits
P01532796A0107|57 58|F1
P01535242A0557|43 48|GM-CSF
P01535242A0557|80 88|c-fms mRNA
P01535242A0557|36 40|M-CSF
P01536575A1213|174 179|CYPIA1
P01536575A1213|152 172|cytochrome P450IA1 gene
P01537334A0507|15 19|TRP-2
P01537334A0507|60 77|coat colour mutation
P01537845A0571|51 59|c-myb gene
P01538401A1244|59 67|5 S RNA gene
P01538403A1058|28 31|eUSF
P01538403A1058|184 193|H5 promoter
P01538403A1058|121 125|TFIID
P01542565A0220|6 22|tobacco L12 protein
P01542565T0000|0 44|Nuclear-encoded chloroplast ribosomal protein L12
P01542667A0125|15 23|IFN-gamma
P01542686A0000|134 143|NF-kappa B.
P01544854A0699|29 37|WR-168643
P01544918A1240|255 275|RII alpha dephosphoform
P01544918A1240|230 236|RII beta
P01544918A1240|294 300|RI alpha
P01545523A0000|105 121|antistreptolysin O
P01545523A0000|86 101|rheumatoid factor
P01545787A0345|72 87|DNase I footprints
P01545787A0345|89 94|NFAT-1
P01545787A0345|98 104|NFIL-2B
P01545792A0000|29 33|MLC-2
P01545792A0000|3 27|cardiac myosin light chain-2
P01545792A0492|87 95|MLC-2 gene
P01545797A0587|43 50|SLK1 gene
P01545806T0000|76 86|REC107/MER2
P01545818A0696|159 172|v-Src SH2 domain
P01545818A0696|3 6|p130
P01547775A1024|168 195|ORF2a/ORF2b transframe protein
P01547775A1024|150 162|PLRV replicase
P01547957A1083|150 153|CYP2
P01547957A1083|143 146|CYP1
P01549118A0000|3 40|Caenorhabditis elegans vitellogenin genes
P01549123A0480|3 10|MET4 gene
P01549125A0140|35 41|insulin
P01549125A0140|51 65|beta GK promoters
P01549129A0356|121 123|Src
P01549346A0000|3 20|c-Ets-1 oncoprotein
P01551568A1476|61 64|rpoB
P01554334A0000|37 45|IFN-gamma
P01556068A0000|3 29|Klebsiella aerogenes gene maoA
P01556068A0000|62 77|monoamine oxidase
P01557411A1282|8 19|human D1A gene
P01560774A0885|60 67|fliA gene
P01563343A0548|55 65|CAB promoter
P01563635T0000|48 71|M.HinfI methyltransferase
P01569102A0708|31 41|LDL receptor
P01569584A0672|73 80|m6F6 cDNA
P01569945A0529|3 10|SEN1 gene
P01572549A0000|0 21|Protein tyrosine kinases
P01572549A0000|166 188|as growth factor receptors
P01572549A0000|23 26|PTKs
P01573270A0000|3 8|IA4 mAb
P01573270A0000|136 138|LAK
P01577740A1111|29 38|S1 nuclease
P01579537A0000|37 50|botulinum toxin
P01581577A1186|0 4|PSI-G
P01581577A1186|8 12|PSI-K
P01581965A0388|182 184|GAP
P01581965A0388|85 118|breakpoint cluster region gene product
P01581965A0388|134 139|rho GAP
P01581965A0388|120 129|n-chimerin
P01582413A0759|14 18|Myf-5
P01582413A0759|47 57|bHLH protein
P01584812T0000|89 124|zinc-finger transcription factor NGFI-C
P01585014A0000|203 212|lupin grain
P01585014A0000|45 73|gonadotrophin releasing hormone
P01585014A0000|88 91|GnRH
P01588270A1029|124 126|DBP
P01588315A0356|111 124|polyhedrin gene
P01588913A0000|20 42|Escherichia coli dnaA gene
P01588961A0000|0 3|STP1
P01588963A1153|77 88|Cdc25 protein
P01588965A0000|0 7|GCR1 gene
P01594554A0845|41 43|CCK
P01594554A0845|47 53|trypsin
P01597462A0457|26 30|CDC14
P01603088A1121|45 46|TR
P01612085A0624|3 21|serum erythropoietin
P01612085A0624|23 25|EPO
P01615493A0408|3 6|HC II
P01615493A0975|80 87|thrombin
P01615493A0975|36 39|HC II
P01617801A0088|26 36|plasma renin
P01620129A0417|33 51|nuclear factor HiNF-D
P01620129A0417|91 102|H4-FO108 gene
P01626430A1112|95 109|Drosophila genes
P01626430A1112|26 30|RAD54
P01626430A1112|34 37|SNF2
P01627830A0000|16 29|casein kinase-1
P01627830A0000|76 79|CKI1
P01628806A1347|99 112|helicase region
P01630454A0635|55 66|Act1 promoter
P01630455A0448|27 45|NFIL-1 beta A (NF beta A
P01630455A0448|142 168|human and murine IL-1 beta genes
P01633435A0743|59 89|muscle-specific regulatory factor
P01633435A0743|91 95|MEF-2
P01633435A0743|3 21|DRF-2 nuclear protein
P01633816A0667|183 192|S1 nuclease
P01634464A0163|26 34|factor VII
P01643943A0300|55 57|TFR
P01644751A0590|100 114|msgB gene product
P01644821A1259|58 60|CAT
P01644821A1259|195 204|PSG1-I gene
P01645902A1462|114 115|TK
P01645902A1462|37 45|Syn 5 locus
P01645902A1462|188 189|TK
P01645902A1462|119 127|UL 24 genes
P01645902A1462|139 149|syn mutation
P01646157A0414|161 185|human alpha-galactosidase A
P01646157A0414|12 52|3.6-kb full-length alpha-GalNAc cDNA sequence
P01646487A0874|73 75|IgA
P01646487A0874|77 79|IgG
P01646487A0874|81 83|IgM
P01648530A0000|27 72|muscle-specific Xenopus cardiac actin gene promoter
P01648530A0000|133 161|actin-beta-globin reporter gene
P01649318A0734|0 5|EBNA-2
P01649318A0734|92 101|TK promoter
P01649318A1222|91 96|EBNA-2
P01649835A0822|27 37|PBR/IBP cDNA
P01652755A1492|119 120|RB
P01652755A1492|191 200|beta-actin
P01652755A1492|171 175|c-fos
P01652755A1492|243 246|IL-6
P01652755A1492|155 158|IL-6
P01652755A1492|72 117|wt human retinoblastoma susceptibility gene product
P01653173A0619|143 160|HPV-18 P105 promoter
P01653173A0619|44 60|E2 DNA-binding site
P01653173A0619|85 96|P105 promoter
P01653236A0895|40 61|glucocorticoid receptor
P01653236A0895|92 113|glucocorticoid receptor
P01653238A1062|123 126|AP-1
P01653238A1062|151 189|transforming growth factor beta 1 (TGF-beta 1
P01653238A1715|6 14|TGF-beta 1
P01655713A0294|95 97|Tn1
P01655713A0294|89 92|exs1
P01655713A0294|111 132|Tn1 insertional mutation
P01656220T0000|79 100|receptor tyrosine kinase
P01656221A1319|141 150|FGFR family
P01657249A1019|139 146|VH4-HV2a
P01657969A1420|157 166|calmodulin
P01658741A1047|70 101|Saccharomyces cerevisiae ADE 1 locus
P01660486A1756|173 175|PKC
P01661369A0825|20 28|strE genes
P01662794A0640|15 21|wt1 gene
P01662807A1182|24 33|TR promoter
P01671675A0905|76 82|CAD gene
P01674817T0000|116 127|RNA15 protein
P01674817T0000|27 36|RNA15 genes
P01675424A0991|67 82|NADH-NR sequences
P01678287A1308|10 37|human Antp TATAA binding protein
P01679124A1368|43 46|ChAT
P01679749A1171|136 156|HSPG2 proteoglycan gene
P01682509A0539|53 56|IE55
P01682509A0539|88 93|HIV LTR
P01682509A0539|30 43|IE proteins IE86
P01684791A0000|60 89|chicken glutamine synthetase gene
P01687050T0000|51 53|IgG
P01687050T0000|35 49|immunoglobulin G
P01688841A0430|49 52|invK
P01690728A1166|129 138|S1 nuclease
P01690812A0000|96 114|28 S RNA ribosomal gene
P01691184A0995|0 4|Gap b3
P01692135A0783|11 29|rtFc gamma R alpha cDNA
P01692962A0980|21 34|chimeric alpha i
P01692962A0980|126 152|cAMP-dependent protein kinase
P01694014A0716|135 142|LD78 cDNA
P01694525A0000|0 32|Isopenicillin N isomerase (epimerase
P01695098A1116|5 7|IgG
P01695116A0078|45 47|CR1
P01695322A0000|0 4|Wnt-1
P01695322A0000|6 10|int-1
P01695378A1406|98 105|FKBP mRNA
P01695905A0480|0 8|GLUT5 mRNA
P01697683T0000|52 65|cytotactin gene
P01697928A1214|57 61|Ly-6E
P01699944A1538|164 173|c-fos genes
P01699944A1538|142 159|cardiac alpha-actin
P01699944A1538|137 140|VLC1
P01700272A0838|17 21|B4 RNA
P01701088A1335|64 74|AP-2 element
P01702426A0196|128 153|avian fatty acid synthase gene
P01702972A0613|131 139|G0S30 cDNA
P01702972A0613|67 76|G0S19 genes
P01708098A0922|141 142|GR
P01708771A1215|73 77|Asn65
P01708771A1215|52 57|Asn120
P01708774A0203|24 27|AP-1
P01709933T0000|33 50|rat chromosomal gene
P01709933T0000|93 98|statin
P01710768A1172|123 132|HLA-B7 gene
P01710979T0000|3 5|SH2
P01710979T0000|9 18|SH3 domains
P01710979T0000|85 88|p130
P01711041A0962|3 15|C5 alpha-chain
P01711048T0000|69 74|COL1A2
P01711048T0000|51 60|pro-alpha 2
P01713213A0000|176 203|exhibit protein tyrosine kinase
P01713213A0000|37 60|human pim-1 proto-oncogene
P01713213A0000|133 148|human Pim-1 enzyme
P01713213A0488|114 146|bacterial glutathione S-transferase
P01713213A0488|148 150|GST
P01713213A0488|73 84|Pim-1 protein
P01714452A0559|15 26|human protein
